Scene,Scene ID,H_00,H_01,H_02,H_10,H_11,H_12,H_20,H_21,H_22
A&W1,DSC_0637.NEF,-0.9977756402629856,-0.002392560334491871,4488.629955585242,0.00743650235069169,-1.0046796350755993,2854.3630808150556,3.6314085687807567e-06,1.5590502582470813e-07,1.0
A&W1,DSC_0638.NEF,-0.9964937812032904,-0.0037760597503326042,4480.043138143122,0.005965029061273997,-1.0014690667966728,2848.0590754125333,2.597365443582281e-06,-8.174203022760614e-07,1.0
A&W1,DSC_0639.NEF,-0.9963486452750051,-0.0038167723423172956,4485.368855291896,0.007387335907344269,-1.0043352561137313,2852.060508711565,3.3492545171383285e-06,-6.540716019804533e-08,1.0
A&W1,DSC_0640.NEF,-0.996706831688424,-0.0036793785730042526,4486.073224802727,0.00858750593521409,-1.0048701690955455,2851.3763302910297,3.4533006687982963e-06,-1.9098989554064774e-07,1.0
A&W1,DSC_0641.NEF,-0.9980120521168437,-0.0018002406205684365,4490.044168790987,0.007717093366588457,-1.0047005217045706,2853.5612369850237,3.693321090104906e-06,6.652001552689906e-07,0.9999999999999999
A&W1,DSC_0642.NEF,-0.9975361652697897,-0.0023215313125203025,4488.556033871883,0.007088420048592914,-1.0046744932476515,2852.1222339835595,3.555156245904016e-06,4.08403548572512e-07,1.0
A&W1,DSC_0647.NEF,-0.998206932566815,-0.001574129103772904,4491.2422332702645,0.007546820085332325,-1.0048849330669833,2850.6410876199984,3.8054603408064867e-06,6.959272553140349e-07,1.0
A&W1,DSC_0648.NEF,-0.9960650851764827,-0.004674329158166671,4481.709824975379,0.0072130098745152565,-1.002741370903257,2844.0832755445867,2.9685000594442484e-06,-1.1288562875923988e-06,1.0
A&W1,DSC_0649.NEF,-0.9960207638838572,-0.004059486142567539,4483.536079178065,0.007551022623616304,-1.0037142249167585,2843.6589425874736,3.0154588821931992e-06,-3.244345172905017e-07,0.9999999999999999
A&W1,DSC_0650.NEF,-0.9969478242166284,-0.00357613466941063,4489.629208292795,0.009190542437341605,-1.0059993664095193,2851.3894670173368,3.914991685553078e-06,-7.277951163688694e-08,1.0
A&W1,DSC_0651.NEF,-0.9976278913089293,-0.0022096272849262137,4489.475500589369,0.006711469734045443,-1.0039023253838655,2850.3450908342174,3.4139844145688185e-06,4.64221348034161e-07,1.0
A&W1,DSC_0652.NEF,-0.9941543838109668,-0.008683567032796184,4489.461604299095,0.00824946186191373,-1.0054038051771883,2848.4907387994685,5.140403949548529e-06,-2.750591397038176e-06,0.9999999999999999
A&W1,DSC_0653.NEF,-0.9936252266816297,-0.008180643145281784,4482.624032246762,0.007378620868804751,-1.002135107229431,2841.888894148893,3.652520173513063e-06,-1.9229104463479055e-06,1.0
A&W1,DSC_0654.NEF,-0.9970451325497081,-0.006535896081474253,4501.975564040485,0.010846501374377057,-1.0075827766968422,2841.598163967111,4.7928435545496595e-06,-3.528808586332076e-07,1.0
A&W1,DSC_0676.NEF,-0.99393182710989,-0.007087850260541073,4485.626100743938,0.007130432349580848,-1.0042210034312984,2827.2919255581874,4.266634549385434e-06,-1.987875731463533e-06,1.0
A&W1,DSC_0677.NEF,-0.9951768063859099,-0.005339042816960591,4487.4152856382425,0.007186885198601573,-1.004128780799272,2825.59192956868,3.767053618400002e-06,-7.926490962809504e-07,0.9999999999999999
A&W1,DSC_0678.NEF,-0.9949681194086565,-0.006226412696633237,4490.005492715624,0.008001380376757444,-1.0052159335175477,2826.4191014201974,4.683860536398142e-06,-1.5665202322467573e-06,0.9999999999999999
